Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     12.52     0.00   200000     0.00     0.00  std::_Rb_tree<int, std::pair<int const, unsigned int>, std::_Select1st<std::pair<int const, unsigned int> >, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::_M_get_Node_allocator()
  0.00     12.52     0.00   199982     0.00     0.00  __gnu_cxx::new_allocator<Node*>::new_allocator(__gnu_cxx::new_allocator<Node*> const&)
  0.00     12.52     0.00   199982     0.00     0.00  __gnu_cxx::new_allocator<Node*>::max_size() const
  0.00     12.52     0.00   199982     0.00     0.00  std::allocator<Node*>::allocator(std::allocator<Node*> const&)
  0.00     12.52     0.00   199980     0.00     0.00  std::map<int, unsigned int, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::key_comp() const
  0.00     12.52     0.00   199980     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::operator[](unsigned long) const
  0.00     12.52     0.00   199980     0.00     0.00  std::_Rb_tree<int, std::pair<int const, unsigned int>, std::_Select1st<std::pair<int const, unsigned int> >, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::key_comp() const
  0.00     12.52     0.00   199980     0.00     0.00  std::map<int, unsigned int, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::operator[](int&&)
  0.00     12.52     0.00   182173     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_S_right(std::_Rb_tree_node_base const*)
  0.00     12.52     0.00   174586     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::begin()
  0.00     12.52     0.00   149989     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00     12.52     0.00   149986     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::begin()
  0.00     12.52     0.00   124586     0.00     0.00  std::operator==(std::_Rb_tree_iterator<std::pair<int const, double> > const&, std::_Rb_tree_iterator<std::pair<int const, double> > const&)
  0.00     12.52     0.00   100002     0.00     0.00  __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >::base() const
  0.00     12.52     0.00   100001     0.00     0.00  std::_Rb_tree_header::_M_reset()
  0.00     12.52     0.00   100001     0.00     0.00  std::_Rb_tree_header::_Rb_tree_header()
  0.00     12.52     0.00   100000     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, double> > >::~new_allocator()
  0.00     12.52     0.00   100000     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<int const, double> > >::~allocator()
